Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume MXN,RRR,Rentabilidad,RR,,
1605830400,20/11/2020,BTCMXN,361209.79,368800,360010,366752.8,44.04,16074981.2,-125.863079,-125.86%,0.01,,
1605744000,19/11/2020,BTCMXN,362328.81,368441.24,354300.01,361209.79,182.83,66283651.3,6.120549144,6.12%,,,
1605657600,18/11/2020,BTCMXN,358261.68,375000.99,350510,362328.81,492.15,178042488.3,-8.264004877,-8.26%,,,
1605571200,17/11/2020,BTCMXN,338693.81,363273.85,335500.01,358261.68,289.05,101975092.3,-67.69718042,-67.70%,,,
1605484800,16/11/2020,BTCMXN,325564.4,342499.5,323903.3,338693.81,182.84,61569935.2,-71.80819296,-71.81%,,,
1605398400,15/11/2020,BTCMXN,328739.1,330000,323360.76,325564.4,57.8,18873751.9,54.92560554,54.93%,,,
1605312000,14/11/2020,BTCMXN,333846.09,333846.09,321134.02,328739.1,115.38,37770230.56,44.26235049,44.26%,,,
1605225600,13/11/2020,BTCMXN,335324.85,341120,327001,333846.09,286.77,95703037.1,5.15660634,5.16%,,,
1605139200,12/11/2020,BTCMXN,321642.69,336000,317000,335324.85,288.39,94443413.86,-47.44325393,-47.44%,,,
1605052800,11/11/2020,BTCMXN,311140.34,327202.04,310821.62,321642.69,196.11,63086545.89,-53.55336291,-53.55%,,,
1604966400,10/11/2020,BTCMXN,311361.71,314199.99,307534,311140.34,202,62858223.98,1.095891089,1.10%,,,
1604880000,09/11/2020,BTCMXN,317710.74,320302.01,301514.76,311361.71,244.62,75782188.09,25.95466438,25.95%,,,
1604793600,08/11/2020,BTCMXN,304086.77,322243.74,301942.89,317710.74,151.61,47552445.8,-89.86194842,-89.86%,,,
1604707200,07/11/2020,BTCMXN,320506.41,324700,291729.43,304086.77,376.51,116404062.1,43.61010332,43.61%,,,
1604620800,06/11/2020,BTCMXN,323736.73,331088.7,313808.55,320506.41,350.77,113049194.9,9.209225418,9.21%,,,
1604534400,05/11/2020,BTCMXN,297237.2,326644.42,296275,323736.73,490.26,152971306.8,-54.05199282,-54.05%,,,
1604448000,04/11/2020,BTCMXN,294679.99,301000,290606.97,297237.2,261.98,77651020.69,-9.761088633,-9.76%,,,
1604361600,03/11/2020,BTCMXN,290580.57,295750,284013.01,294679.99,206.85,60060203.47,-19.81832246,-19.82%,,,
1604275200,02/11/2020,BTCMXN,293011.34,294929.64,281118.52,290580.57,141.29,40752704.27,17.20411919,17.20%,,,
1604188800,01/11/2020,BTCMXN,293298.47,295000,289267.52,293011.34,95.43,27920073.06,3.008802263,3.01%,,,
1604102400,31/10/2020,BTCMXN,288256.24,298424.93,285251,293298.47,220.83,64373535.78,-22.83308427,-22.83%,,,
1604016000,30/10/2020,BTCMXN,288196.46,292463.12,281118.52,288256.24,199.43,57301867.94,-0.2997543,-0.30%,,,
1603929600,29/10/2020,BTCMXN,282480.6,292605.98,277741.47,288196.46,283.9,81058210.63,-20.13335682,-20.13%,,,
1603843200,28/10/2020,BTCMXN,286994.27,291999.38,273054.96,282480.6,273.5,77079068.83,16.5033638,16.50%,,,
1603756800,27/10/2020,BTCMXN,273994.72,290000,273368.34,286994.27,315.64,89225910.05,-41.18473577,-41.18%,,,
1603670400,26/10/2020,BTCMXN,272594.07,277908.58,268512.61,273994.72,152.44,41624375.55,-9.188205195,-9.19%,,,
1603584000,25/10/2020,BTCMXN,273344.08,278000,269000,272594.07,122.43,33340801.33,6.126031202,6.13%,,,
1603497600,24/10/2020,BTCMXN,269580.51,275100,268448.4,273344.08,97.39,26516801.57,-38.64431666,-38.64%,,,
1603411200,23/10/2020,BTCMXN,272150.74,273282.7,265476.08,269580.51,236.69,63790287.52,10.85905615,10.86%,,,
1603324800,22/10/2020,BTCMXN,271286.04,276654.16,268350.94,272150.74,282.14,77019233.64,-3.06479053,-3.06%,,,
